,number,keyword,Text,Tidy_Tweets,," 0-apologize, 1-rectify, 2-supportive/helpful, 3-appreciate, 4 - misc.",Rating,"0-neg, 1-neu, 2-pos"
0.943429991,65789,TT, Hi there  the best team to assist you is our contact centre               Fees do apply to flight changes  https   t co o a o dFDG,there best team assist contact centr fee appli flight chang http dfdg,,,H,
0.970176676,49400,NK, We re awfully sorry to hear about that  Please DM us your reservation info so we can take a closer look into this ,aw sorri hear about that pleas your reserv info take closer look into thi,,-,U,
0.143541427,60959,TOM,RT   In #Namibia  Melissa and Anna Marie found a job immediately after completing their internship   The  tells t ,#namibia melissa anna mari found immedi after complet their internship tell,,,N,
0.360187009,77607,VA, We re sorry to hear this Peter  We would recommend phoning the Baggage Services team and asking for an update on your baggage  Their contact information is available on our website here  https   t co qSVrBBgKnE  MM,sorri hear thi peter would recommend phone baggag servic team ask updat your baggag their contact inform avail websit here http qsvrbbgkne,,,U,
0.77930829,58487,TOM,RT   The Q  #TUIResults are out and show significant growth in customer numbers and turnover  TUI is on track  amp  continues to grow  ,#tuiresult show signific growth custom number turnov track continu grow,,,N,
0.359183995,77943,VA, Hi Olan  we are so pleased to hear this feedback  and really sorry at the same time that your request wasn t able to be resolved  So that we may pass this on to the relevant team  are you able to DM the six character booking reference  Thanks Olan   ST,olan pleas hear thi feedback realli sorri same time that your request wasn abl resolv that pass thi relev team abl charact book refer thank olan,,,U,
0.15335521,86771,WN, Hi there  On May          we will open our schedule for sale through January          This date is subject to change  While we do not have an estimated time of when the remainder of our schedule will become available  Please check back frequently  https   t co xEdKsHz e    Lauren,there will open schedul sale through januari thi date subject chang while have estim time when remaind schedul will becom avail pleas check back frequent http xedkshz lauren,,,N,
0.788929461,46885,LS, Sorry to hear that  We do hope to see you again in the future    Jasmine,sorri hear that hope again futur jasmin,,,U,
0.90935355,22436,BE, Hi Charlotte  thanks for getting in touch  I m sorry that your flight has been delayed today  as I can appreciate the inconvenience this can cause  I ve just looked into this for you  and I can advise that the delay is due to operational issues  and th    https   t co z  sqRYdcs,charlott thank get touch sorri that your flight been delay today appreci inconveni thi caus just look into thi advis that delay oper issu http sqrydc,,,U,
0.094546746,72338,UA, We re sorry for the disruption  Shea  Can you send over your confirmation number in DM   BK https   t co Y hG uklaR,sorri disrupt shea send over your confirm number http uklar,,,U,
0.160352748,16399,B6, That s disappointing  We can issue a     credit for the inconvenience if you ll DM your   letter confirmation code   https   t co xSmyP Lfyg,that disappoint issu credit inconveni your letter confirm code http xsmyp lfyg,,,U,
0.227759677,52091,QF, Perfection on a plate  We enjoyed having you in the lounge Bambang  See you again soon    Zen,perfect plate enjoy have loung bambang again soon,,,N,
